system:index,cloud_base_height,cloud_fraction,cloud_top_height,month,year,.geo
28,4894.542019292564,0.09482226383740688,5869.041788373635,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,4391.598622973163,0.06473612285242009,5376.675322981492,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3753.9526023396834,0.24228297657161726,4693.064847027853,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.7512439211127,0.1649362120605154,4019.43935864787,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2622.7583294304495,0.3194368449476845,3505.924062828771,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2782.465097527745,0.12736592802212576,3704.306481568428,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1788.4980656989567,0.15366702984345718,2639.0833898550063,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2336.0667246129224,0.23606010799291938,3227.921453194862,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2089.0481004996564,0.6044245228600162,3023.848204570934,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2776.7507839537548,0.2585081515357302,3649.3723651462556,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,4626.916418329752,0.14857313276337134,5578.441355394639,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3837.7219620522064,0.08245420179709807,4755.861010043664,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,3334.3874406496802,0.08933045479738352,4276.122567241789,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,3441.34360028554,0.09289356888318025,4403.330769377961,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4735.768089541034,0.5049574690388325,5701.257291497881,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,3048.771251154208,0.3273052788717064,4006.4743940873323,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2236.1725759962287,0.2001640468732321,3149.5377065583602,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2586.000134292382,0.06699094820861057,3516.1199463777443,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2645.8752728604272,0.12487656601046858,3572.9524879089195,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2378.8334701285653,0.1921377889206578,3314.9518965911284,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,3261.8795421527334,0.37512173933601545,4220.302714701974,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,5053.965952492858,0.24741503763059974,6027.485607270157,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,3553.804404426647,0.3873973531676045,4505.752013751429,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,4073.0385723880586,0.18688108062610392,5021.673815540023,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,3426.959924027844,0.1476822555253892,4380.554945606927,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,4289.2681845848,0.1627187069657769,5275.093414618655,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5333.7897700516305,0.3590175429023799,6309.475183742622,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2887.613119083969,0.1286634001899143,3840.4028749794466,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1973.5859587976252,0.128504891785543,2881.2467307396737,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2875.8926357627724,0.10256167609445459,3791.8225784732954,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2962.7735952901953,0.3675510713355064,3880.833655867561,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2785.0286601945927,0.2046975610596255,3727.1852181983595,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2654.439418799196,0.5989789798031676,3588.1888105970406,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,3691.312796719648,0.4180499272967814,4641.823610698143,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,4631.985249604197,0.3440823552364792,5606.850557231426,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,4237.475498696032,0.2899374790085864,5206.355176511851,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,4031.0255827550045,0.0933234739539967,5025.599727685534,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,3668.1469145676715,0.11737680877607412,4658.647034233916,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,4063.461325049248,0.29479234285492983,5039.629595567341,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,3181.793522273319,0.5227220605052377,4138.979461407134,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2367.2196789172517,0.19122968454267228,3285.633076035874,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2704.583577341439,0.12666397561983014,3640.0090431530043,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,1298.3247601297971,0.23181838289184029,2168.680739225374,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2285.3170607520688,0.2659434007963774,3202.6442806542427,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
